# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	720
#@/user_id	3f58877e-a7cc-40cc-b9f8-dce6e53b0ed7
a 	啊	c=4 d=3.03386 t=720
qi zhong 	其中	c=0 d=0.0092089 t=720
qian mian ban 	前面板	c=1 d=0.18452 t=720
qie ge 	切割	c=1 d=0.786628 t=720
qie huan 	切換	c=1 d=0.071719 t=720
qing 	請	c=0 d=0.0872182 t=720
qing an pai 	請安排	c=1 d=0.161218 t=720
qing kuang 	情況	c=3 d=2.37667 t=720
qing li 	清理	c=1 d=0.157237 t=720
qing zhi 	輕質	c=0 d=0.070822 t=720
qing zhi xiao 	請知曉	c=1 d=0.715338 t=720
qing zhi xiao 	輕質小	c=1 d=0.71177 t=720
qu chu 	去除	c=1 d=0.501576 t=720
quan 	全	c=4 d=1.50335 t=720
quan ju 	全局	c=0 d=0.008291 t=720
quan mian 	全面	c=0 d=0.0913931 t=720
quan mian ling dao 	全面領導	c=1 d=0.918512 t=720
quan xian 	權限	c=1 d=0.103312 t=720
quan zheng hui 	全錚暉	c=1 d=0.701173 t=720
que ren 	確認	c=0 d=0.0460704 t=720
que ren xia 	確認下	c=1 d=0.463013 t=720
ran hou 	然後	c=1 d=0.207008 t=720
reng ran 	仍然	c=1 d=0.97531 t=720
ri zhi 	日誌	c=1 d=0.794534 t=720
ru guo 	如果	c=1 d=0.226502 t=720
ru he 	如何	c=1 d=0.479505 t=720
ru xia 	如下	c=2 d=0.192677 t=720
ru yi 	如意	c=1 d=0.0746459 t=720
san zhong 	三中	c=0 d=0.0522046 t=720
shang 	上	c=2 d=0.324612 t=720
shang mian 	上面	c=3 d=1.07381 t=720
shang xia ji 	上下級	c=1 d=0.927743 t=720
shao lu 	燒錄	c=2 d=0.859287 t=720
she bei 	設備	c=2 d=0.836454 t=720
she hui zhu yi 	社會主義	c=0 d=0.0286505 t=720
shen du 	深度	c=1 d=0.29671 t=720
shen hua gai ge 	深化改革	c=1 d=0.543351 t=720
shen me a 	什麼啊	c=1 d=0.88692 t=720
shen me ren 	什麼人	c=1 d=0.869358 t=720
shen qing 	申請	c=1 d=0.116484 t=720
sheng 	生	c=1 d=0.165299 t=720
sheng chan 	生產	c=3 d=0.585183 t=720
sheng chan jing xiang 	生產鏡像	c=1 d=0.131336 t=720
sheng yin 	聲音	c=1 d=0.704692 t=720
sheng yin bu zheng chang 	聲音不正常	c=1 d=0.609571 t=720
shi 	是	c=7 d=4.0088 t=720
shi 	時	c=1 d=0.804243 t=720
shi 	試	c=0 d=0.0562705 t=720
shi ba 	十八	c=0 d=0.0522046 t=720
shi ba jie san zhong 	十八界三中	c=1 d=0.524663 t=720
shi bie 	識別	c=1 d=0.744532 t=720
shi fang 	釋放	c=2 d=0.184653 t=720
shi fou 	是否	c=0 d=0.097531 t=720
shi hou 	時候	c=1 d=0.878095 t=720
shi jian 	事件	c=1 d=0.101266 t=720
shi pin 	視頻	c=0 d=0.00632918 t=720
shi xin 	世新	c=1 d=0.268474 t=720
shi yi xia 	是一下	c=1 d=0.562705 t=720
shi yi xia 	試一下	c=1 d=0.565525 t=720
shi yong 	使用	c=0 d=0.0548812 t=720
shou wang xiang zhu 	守望相助	c=1 d=0.283654 t=720
shu chu 	輸出	c=1 d=0.847894 t=720
shu ju 	數據	c=3 d=2.68009 t=720
shu ru 	輸入	c=1 d=0.83527 t=720
shu xing 	屬性	c=0 d=0.0918512 t=720
shui li fang 	水立方	c=0 d=0.0965605 t=720
shuo de 	說的	c=0 d=0.0900325 t=720
shuo de dui bu dui 	說的對不對	c=1 d=0.904837 t=720
shuo guo 	說過	c=0 d=0.0937067 t=720
si 	死	c=0 d=0.0423162 t=720
si xiang 	思想	c=0 d=0.0909373 t=720
si xiang wu qi 	思想武器	c=1 d=0.913931 t=720
suo yi 	所以	c=2 d=0.460824 t=720
tan 	碳	c=0 d=0.00812682 t=720
tan zhong he 	碳中和	c=1 d=0.0816756 t=720
